date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_elo,away_elo
1990-01-29,Thailand,Kenya,2.0,1.0,King's Cup,Bangkok,Thailand,False,1500.0,1500.0
1990-02-02,Colombia,Uruguay,0.0,2.0,Miami Cup,Miami,United States,True,1500.0,1500.0
1990-02-02,Indonesia,Kenya,2.0,3.0,King's Cup,Bangkok,Thailand,True,1500.0,1489.6374669667953
1990-02-02,United States,Costa Rica,0.0,2.0,Miami Cup,Miami,United States,False,1500.0,1500.0
1990-02-04,Costa Rica,Uruguay,0.0,2.0,Miami Cup,Miami,United States,True,1518.296833708494,1515.625
1990-02-04,South Korea,Norway,2.0,3.0,Malta International Tournament,Attard,Malta,True,1500.0,1500.0
1990-02-04,United States,Colombia,1.0,1.0,Miami Cup,Miami,United States,False,1481.703166291506,1484.375
1990-02-05,Thailand,Indonesia,1.0,1.0,King's Cup,Bangkok,Thailand,False,1510.3625330332047,1487.1272884168004
1990-02-07,Malta,Norway,1.0,1.0,Malta International Tournament,Attard,Malta,False,1500.0,1512.5
1990-02-10,Malta,South Korea,1.0,2.0,Malta International Tournament,Attard,Malta,False,1498.7262139460004,1487.5
1990-02-20,Colombia,Russia,0.0,0.0,Marlboro Cup,Los Angeles,United States,True,1485.9080223165615,1500.0
1990-02-21,Kuwait,Bahrain,1.0,0.0,Gulf Cup,Kuwait City,Kuwait,False,1500.0,1500.0
1990-02-22,Costa Rica,Russia,1.0,2.0,Marlboro Cup,Los Angeles,United States,True,1502.5516773960874,1499.6199586414016
1990-02-22,Oman,United Arab Emirates,1.0,1.0,Gulf Cup,Kuwait City,Kuwait,True,1500.0,1500.0
1990-02-23,Qatar,Bahrain,0.0,0.0,Gulf Cup,Kuwait City,Kuwait,True,1500.0,1489.6374669667953
1990-02-24,Kuwait,Oman,1.0,1.0,Gulf Cup,Kuwait City,Kuwait,False,1510.3625330332047,1500.0
1990-02-27,Qatar,United Arab Emirates,0.0,0.0,Gulf Cup,Kuwait City,Kuwait,True,1499.7204663126004,1500.0
1990-03-01,Bahrain,Oman,0.0,0.0,Gulf Cup,Kuwait City,Kuwait,True,1489.917000654195,1501.8730837782077
1990-03-02,Ivory Coast,Egypt,3.0,1.0,African Cup of Nations,Algiers,Algeria,True,1500.0,1500.0
1990-03-02,Algeria,Nigeria,5.0,1.0,African Cup of Nations,Algiers,Algeria,False,1500.0,1500.0
1990-03-03,Cameroon,Zambia,0.0,1.0,African Cup of Nations,Annaba,Algeria,True,1500.0,1500.0
1990-03-03,Senegal,Kenya,0.0,0.0,African Cup of Nations,Annaba,Algeria,True,1500.0,1502.5101785499949
1990-03-04,Oman,Qatar,2.0,4.0,Gulf Cup,Kuwait City,Kuwait,True,1501.5505950652005,1499.728009085601
1990-03-05,Algeria,Ivory Coast,3.0,0.0,African Cup of Nations,Algiers,Algeria,False,1532.641979054595,1528.125
