team,form,goals_scored,goals_conceded,goal_diff,opp_strength,elo
Yugoslavia,25.0,2.8,0.6,2.2,1490.936715235271,1659.4727461561156
Czechoslovakia,16.0,2.2,1.1,1.1,1470.1530880570594,1592.050411305993
Wallis Islands and Futuna,3.0,0.875,5.75,-4.875,1507.3525363992665,1404.0098035574931
Sark,0.0,0.0,18.33333333333333,-18.33333333333333,1521.8843537201155,1434.1801047700042
Micronesia,0.0,0.0,14.0,-14.0,1506.6359043513378,1430.2761096471884
Găgăuzia,0.0,0.5,4.0,-3.5,1426.9487342581035,1451.820511680719
Monaco,3.0,1.5,8.0,-6.5,1500.0,1489.7295047997814
Brittany,0.0,0.0,0.0,0.0,0.0,1500.0
Rhodes,21.0,1.7,0.9,0.8,1508.2168769473478,1580.1960258412869
Kiribati,0.0,0.4285714285714285,9.857142857142858,-9.428571428571429,1522.2679784915308,1380.589473244204
Western Sahara,3.0,1.6666666666666667,4.0,-2.333333333333333,1514.5903437244913,1482.3518711093482
Saint Pierre and Miquelon,0.0,0.1666666666666666,10.333333333333334,-10.166666666666666,1514.60482812232,1377.2369218475908
Quebec,0.0,0.0,0.0,0.0,0.0,1500.0
Provence,10.0,1.7,2.8,-1.1,1527.3778373789162,1420.3100668510056
Occitania,19.0,2.0,1.1,0.9,1519.054185972249,1534.611885903827
Arameans Suryoye,11.0,1.6,0.2,1.4,1545.9055205588088,1553.8368157169607
County of Nice,6.0,3.0,1.0,2.0,1500.0,1543.9088769367324
Franconia,0.0,0.0,0.0,0.0,0.0,1500.0
Iraqi Kurdistan,23.0,2.2,0.7,1.5,1505.5382331741976,1625.696854848502
Délvidék,3.0,3.0,1.0,2.0,1451.0504806508002,1513.438074978778
Felvidék,13.0,1.6666666666666667,1.3333333333333333,0.3333333333333333,1446.664248648398,1532.2084577259336
Gotland,9.0,2.9,2.1,0.8,1494.4604940501576,1471.2472788319149
Saare County,9.0,1.5,2.2,-0.7,1551.9495821731805,1334.3965625257251
Matabeleland,0.0,0.0,5.0,-5.0,1431.6373732488623,1470.1434278625766
United Koreans in Japan,6.0,0.6666666666666666,1.1666666666666667,-0.5,1552.483458391429,1492.5082959676436
Northern Cyprus,20.0,2.9,0.7,2.2,1479.1185175678493,1614.126838784014
Kárpátalja,8.0,2.0,1.2,0.8,1523.4817172864896,1532.0599339713638
Chagos Islands,1.0,1.5,7.5,-6.0,1466.2476871457775,1473.8587676642742
Parishes of Jersey,0.0,0.0,0.0,0.0,0.0,1500.0
South Ossetia,5.0,0.75,3.0,-2.25,1514.458968486296,1428.4588756300209
Western Armenia,8.0,2.571428571428572,1.2857142857142858,1.2857142857142858,1502.3154472367776,1504.2900557558355
Eritrea,1.0,0.5,2.2,-1.7,1467.6218702331375,1267.6037066566946
Russia,19.0,1.6,1.0,0.6,1584.6335956803428,1734.900685228633
Alderney,6.0,0.9,3.3,-2.4,1580.360596668555,1195.5777534966578
Mapuche,0.0,0.0,1.0,-1.0,1500.0,1487.5
Maule Sur,3.0,1.0,0.0,1.0,1500.0,1512.5
Aymara,0.0,1.0,3.0,-2.0,1487.5,1483.813087863351
Ticino,0.0,0.0,0.0,0.0,0.0,1500.0
Raetia,7.0,1.7142857142857142,4.0,-2.2857142857142856,1437.8695624186369,1433.6366066272808
Chameria,4.0,2.0,1.0,1.0,1472.233908458076,1527.7978183903322
Two Sicilies,3.0,0.75,2.25,-1.5,1504.081006560427,1465.6794272975771
Székely Land,13.0,2.3,1.9,0.4,1499.6223767339145,1424.6907669746513
Menorca,14.0,1.8,1.2,0.6,1560.0847330313577,1579.5333545189294
Åland Islands,9.0,0.7,1.5,-0.8,1544.81764934711,1496.6847303118475
Greenland,21.0,1.7,1.3,0.4,1469.7177842582587,1510.556238113338
Isle of Wight,25.0,2.0,0.8,1.2,1558.2874154976037,1649.1146717521465
Guernsey,18.0,2.4,1.1,1.3,1555.710049925711,1740.5887274635688
Saint Helena,0.0,0.3333333333333333,5.0,-4.666666666666667,1582.319762439686,1412.1546533529072
