date,home_team,away_team,home_xg,away_xg,home_shots,away_shots
2022-12-01,Canada,Morocco,1.096,0.426,5,7
2022-11-21,England,Iran,1.987,1.456,13,8
2022-12-01,Croatia,Belgium,0.695,2.382,11,16
2022-11-25,Netherlands,Ecuador,0.104,1.651,2,15
2022-12-01,Japan,Spain,1.158,0.858,6,12
2022-11-25,England,United States,0.461,0.514,8,10
2022-11-29,Iran,United States,0.921,1.17,4,12
2022-11-23,Morocco,Croatia,0.363,0.85,8,5
2022-11-25,Wales,Iran,0.616,1.454,10,21
2022-11-30,Tunisia,France,0.298,0.477,5,10
2022-11-29,Wales,England,0.208,2.915,7,18
2022-11-24,Switzerland,Cameroon,1.427,0.613,7,8
2022-11-24,Portugal,Ghana,2.097,0.78,11,9
2022-11-21,Senegal,Netherlands,0.691,1.124,15,10
2022-11-21,United States,Wales,0.602,1.395,6,7
2022-11-26,Poland,Saudi Arabia,1.734,1.972,9,17
2022-11-29,Netherlands,Qatar,1.714,0.144,13,5
2022-11-26,France,Denmark,1.934,0.889,21,10
2022-11-23,Germany,Japan,2.768,1.249,26,12
2022-11-22,Denmark,Tunisia,1.567,1.06,11,13
2022-11-22,Mexico,Poland,0.529,1.138,11,6
2022-11-25,Qatar,Senegal,0.96,0.903,10,12
2022-11-23,Belgium,Canada,0.67,2.546,9,22
2022-11-28,Brazil,Switzerland,0.923,0.289,13,6
2022-12-09,Netherlands,Argentina,4.487,5.857,12,19
2022-12-01,Costa Rica,Germany,1.035,4.316,7,31
2022-11-27,Japan,Costa Rica,0.774,0.199,13,4
2022-12-18,Argentina,France,5.892,5.407,24,14
2022-12-17,Croatia,Morocco,0.849,0.991,12,9
2022-12-02,Serbia,Switzerland,1.189,3.104,12,14
2022-12-03,Argentina,Australia,1.482,0.426,14,5
2022-11-30,Australia,Denmark,0.47,0.737,8,14
2022-11-24,Brazil,Serbia,2.124,0.163,23,5
2022-11-26,Tunisia,Australia,1.052,0.359,14,9
2022-11-29,Ecuador,Senegal,1.002,1.707,9,13
2022-11-24,Uruguay,South Korea,0.417,0.493,10,7
2022-12-10,Morocco,Portugal,0.972,0.744,9,12
2022-11-30,Saudi Arabia,Mexico,1.076,2.322,10,26
2022-11-30,Poland,Argentina,0.198,3.077,4,24
2022-11-26,Argentina,Mexico,0.325,0.206,5,4
2022-12-06,Portugal,Switzerland,2.284,1.272,15,10
2022-12-04,England,Senegal,1.02,0.973,8,10
2022-12-13,Argentina,Croatia,1.864,0.41,9,12
2022-12-10,England,France,2.353,0.839,16,8
2022-12-14,France,Morocco,2.002,1.23,14,13
2022-12-09,Croatia,Brazil,3.767,4.95,13,24
2022-12-06,Morocco,Spain,3.704,2.845,10,15
2022-12-05,Japan,Croatia,4.203,3.988,17,21
2022-12-05,Brazil,South Korea,3.261,0.345,18,8
2022-12-04,France,Poland,1.126,1.594,16,12
2022-12-03,Netherlands,United States,1.482,1.652,11,18
2022-11-28,Portugal,Uruguay,1.214,1.217,15,11
2022-11-27,Spain,Germany,0.64,1.147,7,11
2022-11-28,Cameroon,Serbia,2.07,1.738,13,15
2022-11-27,Belgium,Morocco,0.643,0.991,10,10
2022-11-20,Qatar,Ecuador,0.304,1.154,5,6
2022-11-22,Argentina,Saudi Arabia,2.492,0.153,15,3
2022-11-28,South Korea,Ghana,1.368,1.181,21,7
2022-12-02,Ghana,Uruguay,1.393,1.637,9,12
2022-11-23,Spain,Costa Rica,2.762,0.0,17,0
2022-11-27,Croatia,Canada,2.61,0.287,13,8
2022-12-02,Cameroon,Brazil,0.383,2.378,7,21
2022-11-22,France,Australia,3.17,0.323,23,4
2022-12-02,South Korea,Portugal,1.399,0.974,12,13
2018-07-06,Brazil,Belgium,2.609,0.405,25,8
2018-07-02,Belgium,Japan,2.918,0.694,28,12
2018-06-24,England,Panama,3.168,1.08,11,8
2018-06-19,Poland,Senegal,1.042,1.428,10,7
2018-06-22,Serbia,Switzerland,1.153,1.557,12,19
2018-06-18,Sweden,South Korea,2.015,0.414,16,5
2018-06-17,Germany,Mexico,2.299,0.993,26,12
2018-06-20,Iran,Spain,0.426,2.197,6,18
2018-06-20,Uruguay,Saudi Arabia,1.807,0.273,14,8
2018-06-21,France,Peru,1.862,0.625,12,12
2018-06-21,Argentina,Croatia,1.218,1.832,10,14
2018-07-03,Colombia,England,4.749,6.162,19,22
